ROI Label,input_roi,output_roi,mapped_indices
184,17Networks_LH_DefaultA_PFCd_2,7Networks_LH_Default_PFC_19,151
185,17Networks_LH_DefaultB_PFCl_2,7Networks_LH_Default_PFC_20,181
186,17Networks_LH_ContB_PFCd_1,7Networks_LH_Default_PFC_21,138
187,17Networks_LH_DefaultA_PFCd_3,7Networks_LH_Default_PFC_22,152
188,17Networks_LH_DefaultB_PFCd_5,7Networks_LH_Default_PFC_23,178
189,17Networks_LH_DefaultB_PFCd_6,7Networks_LH_Default_PFC_24,179
190,17Networks_LH_DefaultC_Rsp_2,7Networks_LH_Default_pCunPCC_1,189
191,17Networks_LH_DefaultC_Rsp_3,7Networks_LH_Default_pCunPCC_2,190
192,17Networks_LH_DefaultA_pCunPCC_1,7Networks_LH_Default_pCunPCC_3,153
193,17Networks_LH_ContC_Cingp_1,7Networks_LH_Default_pCunPCC_4,146
194,17Networks_LH_ContC_pCun_1,7Networks_LH_Default_pCunPCC_5,143
195,17Networks_LH_DefaultA_pCunPCC_2,7Networks_LH_Default_pCunPCC_6,154
196,17Networks_LH_DefaultA_pCunPCC_3,7Networks_LH_Default_pCunPCC_7,155
197,17Networks_LH_DefaultA_pCunPCC_4,7Networks_LH_Default_pCunPCC_8,156
198,17Networks_LH_DefaultA_pCunPCC_5,7Networks_LH_Default_pCunPCC_9,157
199,17Networks_LH_DefaultA_pCunPCC_6,7Networks_LH_Default_pCunPCC_10,158
200,17Networks_LH_DefaultA_pCunPCC_7,7Networks_LH_Default_pCunPCC_11,159
201,17Networks_RH_DorsAttnA_TempOcc_1,7Networks_RH_Vis_1,258
202,17Networks_RH_DefaultC_PHC_2,7Networks_RH_Vis_2,389
203,17Networks_RH_VisCent_ExStr_1,7Networks_RH_Vis_3,200
204,17Networks_RH_VisCent_ExStr_2,7Networks_RH_Vis_4,201
205,17Networks_RH_VisPeri_ExStrInf_1,7Networks_RH_Vis_5,212
206,17Networks_RH_VisCent_ExStr_3,7Networks_RH_Vis_6,202
207,17Networks_RH_VisPeri_ExStrInf_2,7Networks_RH_Vis_7,213
208,17Networks_RH_VisCent_ExStr_4,7Networks_RH_Vis_8,203
209,17Networks_RH_DorsAttnA_TempOcc_3,7Networks_RH_Vis_9,260
210,17Networks_RH_VisCent_ExStr_5,7Networks_RH_Vis_10,204
211,17Networks_RH_VisPeri_ExStrInf_3,7Networks_RH_Vis_11,214
212,17Networks_RH_VisPeri_ExStrInf_4,7Networks_RH_Vis_12,215
213,17Networks_RH_VisCent_ExStr_6,7Networks_RH_Vis_13,205
214,17Networks_RH_VisPeri_ExStrInf_5,7Networks_RH_Vis_14,216
215,17Networks_RH_VisCent_Striate_1,7Networks_RH_Vis_15,206
216,17Networks_RH_DorsAttnA_ParOcc_1,7Networks_RH_Vis_16,261
217,17Networks_RH_DefaultC_Rsp_1,7Networks_RH_Vis_17,386
218,17Networks_RH_VisCent_ExStr_7,7Networks_RH_Vis_18,207
219,17Networks_RH_VisPeri_StriCal_1,7Networks_RH_Vis_19,217
220,17Networks_RH_VisPeri_StriCal_2,7Networks_RH_Vis_20,218
221,17Networks_RH_VisCent_ExStr_8,7Networks_RH_Vis_21,208
222,17Networks_RH_VisCent_ExStr_9,7Networks_RH_Vis_22,209
223,17Networks_RH_VisCent_ExStr_10,7Networks_RH_Vis_23,210
224,17Networks_RH_VisPeri_ExStrSup_1,7Networks_RH_Vis_24,219
225,17Networks_RH_VisPeri_ExStrSup_2,7Networks_RH_Vis_25,220
226,17Networks_RH_VisCent_ExStr_11,7Networks_RH_Vis_26,211
227,17Networks_RH_DorsAttnA_ParOcc_3,7Networks_RH_Vis_27,263
228,17Networks_RH_VisPeri_ExStrSup_3,7Networks_RH_Vis_28,221
229,17Networks_RH_VisPeri_ExStrSup_4,7Networks_RH_Vis_29,222
230,17Networks_RH_DorsAttnA_SPL_1,7Networks_RH_Vis_30,264
231,17Networks_RH_SomMotB_Aud_1,7Networks_RH_SomMot_1,243
232,17Networks_RH_TempPar_4,7Networks_RH_SomMot_2,393
233,17Networks_RH_SomMotB_Aud_2,7Networks_RH_SomMot_3,244
234,17Networks_RH_SomMotB_Ins_1,7Networks_RH_SomMot_4,245
235,17Networks_RH_SomMotB_S2_1,7Networks_RH_SomMot_5,246
236,17Networks_RH_SomMotB_S2_2,7Networks_RH_SomMot_6,247
237,17Networks_RH_SomMotB_Aud_3,7Networks_RH_SomMot_7,248
238,17Networks_RH_TempPar_8,7Networks_RH_SomMot_8,397
239,17Networks_RH_SomMotB_S2_3,7Networks_RH_SomMot_9,249
240,17Networks_RH_SomMotB_S2_4,7Networks_RH_SomMot_10,250
241,17Networks_RH_SomMotB_S2_5,7Networks_RH_SomMot_11,251
242,17Networks_RH_SomMotB_S2_6,7Networks_RH_SomMot_12,252
243,17Networks_RH_SomMotB_S2_7,7Networks_RH_SomMot_13,253
